,semel,shem_eretz,uc2010,Jewso10,Arabs10,Olim10,AhuzGidulShnati10,ribuitivishnati10,Ledot10,p0509_0_4,p0509_5_14,p0509_15_24,p0509_25_34,p0509_35_44,p0509_45_54,p0509_55_64,p0509_65_74,p0509_75p,e0,RPiryon0509_15_19,RPiryon0509_20_24,RPiryon0509_25_29,RPiryon0509_30_34,RPiryon0509_35_39,RPiryon0509_40_44,RPiryon0509_tot,Rabort0509_15_49,Rabort_up,Rabort_dn
0,,,2.7,99.2,0.8,3.4,-0.2,18.0,,7.86329103599,16.5314891205,16.8922397195,14.2117995289,12.5199922819,12.2821089243,12.6626051523,4.28641213431,2.7500621023,,,,,,,,2.45688311936,13.1,17.0639527705,9.10592112664
1,,,9.5,99.8,0.2,7.1,3.8,131.0,,8.63295004148,20.2061779256,17.0090125543,11.7344504844,15.4834724043,13.7944392453,8.33821997208,2.88801190009,1.91326547249,,,,,,,,2.50915922311,13.0,15.0657251146,10.9082878736
2,,,3.0,100.0,0.0,2.3,2.8,49.0,,10.7929132883,19.525470143,13.8548299486,12.7750935299,14.8414012809,12.1872077821,6.17831903716,4.73719521167,5.10756977837,,,,,,,,2.97992739609,12.3,16.0768386378,8.50561919631
3,,,3.4,100.0,0.0,3.6,3.0,76.0,,14.6067835204,21.0141375468,16.5897231528,13.5367356077,10.0657645252,9.50703404504,6.03184900204,4.45144816765,4.19652443232,,,,,,,,4.42871700916,8.7,11.817532209,5.53082071181
4,,,2.7,99.8,0.2,3.3,4.7,25.0,,6.80407803455,18.938486014,18.6090960934,10.8006615957,13.4200039737,15.5713361804,11.2087587921,2.52186974445,2.12570957169,,,,,,,,2.35115730494,10.0,13.3030923868,6.63473508393
5,,,5.5,98.9,1.1,6.6,6.8,65.0,,6.69569181988,13.8868528547,17.3411494836,14.3366744359,11.8431884709,14.1543731368,11.8521302716,6.20430049601,3.68563903062,,,,,,,,1.9137768344,13.5,16.3610600365,10.5710914683
6,,,4.8,95.9,4.1,19.5,1.0,111.0,,13.1999918958,18.6826929264,14.7702678763,17.4007513215,10.9801065288,9.26330973201,7.16147578042,4.68301662435,3.85838731435,,,,,,,,3.73596089108,14.7,18.0185572236,11.3715429657
7,,,6.7,100.0,0.0,2.7,4.2,64.0,,7.43428771805,16.0122632192,19.4143789494,13.4632133831,11.8082593557,16.4134595455,11.0960491122,2.73399432343,1.62409439344,,,,,,,,2.26768765713,8.8,10.8886142632,6.69639834727
8,,,2.2,100.0,0.0,4.2,22.4,38.0,,7.41185243134,10.5716009905,14.1699922631,15.8150570479,11.0271065957,9.88380675503,13.8016251,9.21271806122,8.10624075522,,,,,,,,2.54438038112,10.2,15.2696681525,5.04258335247
9,,,5.5,100.0,0.0,3.1,0.2,65.0,,5.6575856482,18.2537965462,21.9527423399,12.4423822039,11.5653016132,18.0228628765,9.24618676209,1.83328250673,1.02585950336,,,,,,,,1.93787308176,6.3,7.91813784395,4.59188796012
10,,,3.0,100.0,0.0,3.1,2.0,61.0,,16.8402140146,19.4170062109,7.06587750318,18.1977661583,21.7766072481,6.68711402582,6.00648213264,2.75024438339,1.25868832301,,,,,,,,2.84686235391,8.8,12.0704981982,5.47965247808
11,,,6.8,99.9,0.1,3.3,1.4,95.0,,9.2312664393,19.4256351213,14.3163018423,13.0480952669,15.7190254106,12.9070548155,8.10338816202,4.47294111879,2.77629182324,,,,,,,,2.36948899696,12.6,15.0950661223,10.0448580164
12,,,6.0,0.8,99.2,0.2,2.4,117.0,,12.4458579809,23.5832891125,17.3758824743,14.3830992529,12.8856966067,9.97469533587,5.22413082639,2.68096056178,1.44638784867,,,,,,,,3.45974577444,7.1,8.99821137151,5.13343776323
13,,,8.1,2.6,97.4,0.0,2.0,179.0,,13.3015123082,26.4459769455,20.454616459,16.7312529922,11.2531679691,6.19351230972,3.39493805643,1.49604369005,0.728979269847,,,,,,,,3.16615261154,10.9,12.915689852,8.83571931964
14,,,5.7,0.0,100.0,0.0,1.9,93.0,,9.86844791153,21.9814625748,19.3108146469,16.1743210933,13.8214623548,9.07815993689,4.57665690506,3.23511223262,1.95356234413,,,,,,,,2.31982218093,7.1,9.04017262494,5.186969828
15,,,2.9,0.4,99.6,0.1,1.9,49.0,,9.92575225164,19.7590684535,14.3192227569,16.2425227093,14.4118865623,9.11838976827,6.29600093424,6.4072989528,3.51985761106,,,,,,,,2.56598652326,11.9,15.593078079,8.24862814203
16,,,9.1,0.2,99.8,0.1,1.5,152.0,,12.7740189323,24.4758640451,16.6907430554,14.186445801,14.1189897004,8.31325387008,4.7987730342,3.00165095698,1.64026060445,,,,,,,,3.23987041433,11.4,13.4183563824,9.35072333454
17,,,9.0,2.0,98.0,0.1,1.7,162.0,,12.0209465177,24.0042441143,18.6864983332,15.4907661976,13.1057860934,8.40497265031,4.42975428928,2.60187322983,1.25515857442,,,,,,,,2.98907523108,7.7,9.35777753373,6.11832752253
18,,,5.5,0.1,99.9,0.0,1.6,94.0,,11.1303839192,23.2138957026,19.156015212,17.2579222709,12.5492806708,7.91788342558,4.3980623007,2.68047904523,1.69607745297,,,,,,,,2.5966809543,2.6,3.78589680116,1.39537422394
