,Rosh_Pina,MazkeretBatia,Elyachin,Yavniel,Kfar_Tavor,Atlit,Mitzpe_ramon,Ramat_Ishay,Givat_Ada,Pardesiya,Tsur_Moshe,BeitDagan,AbuGosh,Boeniyaa,Gulis,GashGushhlb,Daburiya,DirHina,Horpish,Kvakbavelig,Kfaryasif,KfarKama,Eilot,KfatMetzer,Mizra,Miilia,Mashad,EinNekuba,Sagur,Sulam,Uzeir,Ilaboun,Pasuta,Pkiin,Shaab,Rama,Yadbinyamin,Savion,Galgulia,KfarBara,Mukbelya,Avtin,Sheykdanon,Omer,KfarHabad,Tifrah,Shlomi,Yeruham,Shabli_um_El_Ganam,Rehasim,Bosmat_Tivon,Tuba_Zangriya,Zarzir,Caabia,Biral,lakia,Bne_aish,Merkaz_Shapira,Tzur_Hadasa,Kiryat_yaarim,Keysaria,KokhavYair,Salma,Ktzir_harish,Kfar_Vradim,Meitar,Lehavim,Gan_Ner,Nofit,SegevShalom,Zemer,GivatAvni,YanuchGat,KasraSamia,Lapid,Matan,BetHefer,Basma,Nof_Ayalon,Shimshit,Hatzor_Haglilit,Kdumim,Elkana,BeitEl,AlonShvot,KiryatArba,Ofra,KfarAdumim,KarneyShomron,Shilo,Efrata,BeitArie,Emanuel,Shaaretikva,AlfeMenashe,Oranit,GevaBenyamin,Ali,HarAdar,Hashmonaim,KokhavYaakov,Talmon,KfarOranim,Bukaata,Katzrin,MagdElShams,Masaade,Agar,Ofakim,Ashdod,TelMond,GanYavne,KfarYona,EvenYehuda,Kadima-Tzoran,GaneTikva,YokneamElit,Netivot,KiryatEkron,AbiSnan,Aksal,BeitJan,Magar,IrCarmel,Toraan,Iafia,Yarka,Kabul,KfarKana,Kfarmanda,Shagur,Nahaf,Aablin,Aaraba,EinMahel,Foradies,GaserZarka,Reina,Azor,KfarKasem,Araara,Kalanswa,KfarKara,GivatShmuel,MigdalHaemek,MevaserTzion,OrAkiva,Shderot,KiryatMalakhi,TelSheva,Kseifa,NatzratIlit,MaalotTarshiha,Karmiel,Rahat,Araara_beNegev,Modiin_Macabim_Reut,Gadyda_Makar,Hura,Shoam,Elad,MaaleIron,TiratKarmel,Dimona,KiryatTivon,OrYehuda,Nesher,BeerYaakov,Gadera,Arad,Eilat,BeitShemesh,KiryatOno,KiryatGat,RoshHaAin,RamatHasharon,Yavne,UmElPaham,TiratKarmel,Taybe,KiryatShmona,Jerusalem,Ariel,MaaleAdumim,GivatZeev,BeitarIlit,ModiinIlit,Haifa,Tel-Aviv-Yafo,BakaGat,BneiBrak,BatYam,Givatayim,Hertzelia,Hadera,Holon,Tveria,KiryatAta,KfarSaba,Lod,Ashkelon,NesTziona,Nazareth,Netania,Sakhnin,Akko,Afula,PardesHana-Karkur,PetahTikva,Tzfat,KiryatMotzkin,RishonLeTzion,Rehovot,Ramla,RamatGan,Raanana,Shfaram,Tamra,BeerSheva,Neharia,BeitShean,ZikronYaakov,Yahud,KiryatByalik,KiryatYam,HodHasharon,Binyamina-GivatAda
p0509_0_4,7.863291036,8.632950041,10.32836669,10.79291329,14.60678352,6.804078035,6.69569182,9.758783219,13.1999919,7.434287718,7.411852431,10.73790889,10.20896017,11.11940689,5.657585648,8.147470468,9.947679861,9.132436058,10.85992242,14.77212132,16.84021401,9.231266439,7.686117664,12.44585798,11.28969434,13.67811613,10.22327931,10.98620012,13.30151231,9.868447912,9.925752252,12.77401893,12.02094652,9.745994841,11.13038392,13.22657489,11.13710053,12.10131913,12.80324887,12.64227386,9.53911582,8.114386066,13.40565947,14.15733305,13.64184717,13.84653696,13.28380654,8.720110068,9.064885812,12.99480886,16.76846502,14.59044711,11.06327886,11.99316274,14.92447263,11.57346023,9.644422176,14.25079056,12.49538957,8.059788097,9.782933509,12.55449643,11.96714173,15.45680886,9.92621456,8.990526374,7.263889013,20.01261908,6.497069175,14.92709405,15.6020956,14.1124249,15.01078911,12.83823103,14.22043828,14.22249297,11.94253568,11.25768746,6.978148946,12.72066909,15.93739342,20.70633758,10.7801977,10.9903596,8.051872265,14.25697026,15.51319323,13.04540415,12.93260869,13.58978256,14.98183167,13.75938969,8.651458496,7.850180287,8.564806653,10.00315587,21.25603547,20.39217966,20.41125182,6.240825399,8.0693381,6.449733258,8.137976667,11.58815526,14.45868005,7.247727062,19.69068573,5.863697539,19.14134747,13.95018061,5.602308929,17.31505623,10.55424316,7.514276011,7.734335114,6.949778989,9.418306613,9.421534543,19.58193766,12.2069537,11.62708837,6.32778603,12.36679227,13.4921345,20.19701238,9.901565667,28.37003987,8.892877458,10.94195138,12.54694575,15.3243868,13.3807717,10.25001156,15.54066281,10.34579635,7.54302728,8.49770805,6.980731483,9.398477885,7.259154269,7.086916,12.47995241,7.179944571,8.866777125,18.79643562,8.971797777,8.297955569,8.97797663,7.743911874,7.976362718,14.1727945,11.2455061,13.8490491,8.316054083,12.50813642,16.71118905,12.47220714,6.881530141,17.12159544,15.81095113,13.3510551,10.68332083,17.03147871,15.51028292,10.44910601,18.19745711,11.35140322,9.504897022,19.0229706,9.845036115,9.060855736,9.768316084,7.779834328,18.58592301,21.36794915,8.649798523,9.248050317,25.75315133,25.93046018,24.71890952,15.80353542,29.48272204,6.196963657,11.11134358,7.237058301,10.96873434,12.30900226,13.72842765,7.271739158,13.17860409,14.66157085,6.268578422,7.376896264,6.901428818,7.598006165,7.295787436,9.187569301,6.991135719,7.553192493,10.40605258,7.701467948,9.305686021,11.56112429,8.279488187,12.6993499,8.018293657,7.313118004,8.3915977,8.723898757,12.92094642,6.638082347,7.384835203,9.2738113,9.641999017,6.831035242,7.897062112,11.64610329,12.96963887,7.998275504,8.820443921,9.853209647,9.355295207,8.433935925,6.131339143,5.866823139,9.232764556,11.24828498
Rwht_2500s,9.5,9.1,8,12.3,9.2,10.5,8.7,7.7,10.5,13.1,9.2,7.1,9,6,7.5,10.7,8,7.2,7.3,8,4.8,5.2,12,14.3,8.3,6.9,7.4,7.3,8.2,9.2,9,6.4,8.1,7.2,4.1,7.3,8.9,5.4,8.3,8.7,7.5,6.3,7.4,7,11.7,7.2,7.8,8.4,8,6.9,6.1,7.2,4.9,7.7,10,9.4,6.7,6.7,6.6,9.7,4.2,8.6,7.9,7.5,6.7,5.6,9.8,4.5,10.3,8.1,8.2,8.5,7.8,6.9,9.6,3.9,7.8,7.7,6.4,8.8,6.8,2.6,6.8,9.6,9.4,5.9,6.3,8.7,7.5,6.5,10.3,8.2,9.3,7.5,9.2,8.9,10,10.3,8,7.8,9,10.2,4,9.4,5.3,9.8,9.2,6.6,9.2,8.2,6.5,10.5,7,7.4,7.6,7.6,7.4,7.6,11.1,8.1,7.7,10.2,7.5,6,11.7,6.7,6.4,11.3,4.5,8.6,7.6,7.6,8.1,5.8,9,10.3,10,9.5,8.8,9,10.7,9.7,9.3,9.6,5.8,9.2,8.5,10.5,10.3,10.3,7.4,8.9,8.5,9.7,7.3,6.6,6.2,8.5,5.3,6.1,7.1,9.5,7.1,5.1,9.3,8,5.1,6.9,9.3,5.6,9.1,8.1,7.5,6.9,8.4,7.1,7.1,6.8,5.7,5.4,3.6,5.5,8.6,4.7,7.4,7.5,9.3,4.6,10.4,7.6,6.3,9.6,9,9.7,10.6,9.5,8.7,9.2,9.3,8,8.7,8.4,7.1,7.8,7.5,8.2,9.1,9.5,9.1,7.7,8.1,8.9,8.9,9.7,10.7,9.3,8.2,6.7,9.7,9.1,8.9,7.8,10.8,9.5,9.7,8.5,8.5
per04,1,4,2,3,2,2,3,4,1,3,2.991111111,4,3,4,4,4,4,5,3,3,4,5,4,3,2,3,2,2,2,2,1,2,2,3,1,2,3,2,2,2,2,2,3,2,3,3,2,2,2,3,3,2,2,3,2,3,2,2,3,1,2,3,2,3,3,2,5,3,5,4,4,4,2,3,4,3,3,2,2,5,5,2.991111111,2,1,3,2,3,3,1,3,3,3,4,3,3,3,2,2,2,3,2,4,3,3,3,2,3,3,2,4,4,2,3,2,2,2,2,3,2,3,2,2,2,2,2,4,4,4,5,4,3,3,4,3,1,3,1,3,5,3,5,4,1,1,3,5,3,5,5,4,3,4,4,1,5,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,5,3,5,5,5,5,4,5,2,3,5,5,3,5,3,4,2,2,3,3,5,1,3,5,5,5,5,5,3,2,3,2,2,3,5,3,3,5,3
p0509f_55_64,12.1391296,8.066605171,7.3715144,6.224976745,6.135186891,9.693141658,11.83494661,9.221910941,7.740723879,10.45269073,14.57407941,5.801277345,6.147447709,7.696168196,7.899733979,11.13165174,5.59793639,10.76108376,6.896961033,5.047954514,6.303130638,7.734817703,8.863740943,5.662162138,5.08440527,4.740504052,4.229229149,4.258045815,3.47177151,4.615178986,6.83308254,4.742761185,4.37553843,6.225850569,4.646597486,4.201806115,4.427000764,4.263486537,4.055251426,4.731735352,6.090844974,8.985604014,4.072219948,2.91054896,3.423894406,3.662153082,3.946645999,4.148584964,8.368971366,4.04968946,2.555497616,3.249595739,3.273686017,5.241115271,3.169848177,5.044713963,6.195788244,3.784668792,3.938706654,7.336782757,5.805218524,4.407558804,4.2786761,2.831260796,3.878771627,7.49145381,10.89503166,3.85027771,13.58831187,4.042733031,3.307056157,4.034144937,2.973562947,5.396092925,3.866224781,4.276456171,4.877023755,3.899687154,18.27722903,8.190617904,4.288082175,3.128574211,6.783769761,8.380087462,9.643206317,4.624977832,4.652330827,3.753413152,3.463905258,3.499068917,3.345136725,3.664171413,11.97127628,9.539044977,8.462176429,7.866494323,2.259843758,2.276677009,3.339408407,12.08929613,8.442588772,10.03865978,6.101900065,5.27749307,4.344900827,11.05023763,2.536595272,11.28091807,2.161933167,4.588213854,8.679190182,3.277380694,6.138698054,10.10123573,10.31367179,10.62873327,3.382944878,8.265203187,2.115307038,5.230928085,4.309727801,7.175445689,4.249023,3.14331962,2.951483262,3.658727758,1.13761594,2.52373063,3.348145499,3.37491374,2.919557001,4.188188705,1.412632443,1.667456262,8.270002758,9.961176208,9.497260756,12.10627029,8.854551262,10.01052575,9.478299814,6.584974797,11.75738179,7.875657326,4.069877626,11.20452675,9.311607212,6.183432724,13.6381712,9.604132935,3.934809532,5.434787942,5.02405892,8.596253445,7.070942888,6.80081915,11.35901131,8.010950972,4.748620241,6.062399004,6.03758025,6.363751712,3.433452907,3.544384163,6.918514376,3.120805279,5.474387567,6.791851903,4.481609914,9.448455759,8.516515931,9.375483831,8.504453705,3.046963147,2.860686356,12.411801,4.73948646,1.717639735,1.183843678,0.593763455,1.770327496,1.30089651,12.52263597,4.438708052,9.453173268,6.046074482,5.303592605,3.521493853,10.23219543,4.975591293,6.511000758,13.75691241,10.81808309,13.90800219,10.3666422,12.23389613,9.241303186,11.87346901,12.36494996,8.9927759,10.19410547,9.619182966,5.865755158,10.97569276,4.154712214,9.059623278,10.14428432,9.264355953,11.36470075,6.803124772,12.59526526,11.51321074,11.49646881,8.537549635,10.98556344,12.39200277,4.853930118,4.197131396,9.822539364,10.47261243,7.660939218,7.610172483,10.82258015,13.47034722,13.18529458,9.48484065,7.253631545
Ptot0509,2.492928224,8.847215501,24.34669698,2.757400375,2.975278954,2.562052629,4.785428074,204.0545596,4.52317108,5.829010773,1.344178841,9.531814865,16.26486113,14.75060253,6.052393811,9.795912776,16.60421313,12.43478606,18.52038718,25.22791435,2.355751009,5.935417923,9.948550179,5.826443706,11.69213804,11.6404017,10.20996955,19.17917847,7.846181229,5.407017878,2.713008365,8.582958227,8.666123233,24.7071458,5.28205526,11.46862816,16.76625467,13.12334991,10.09160691,2.820005105,8.458739377,2.897722616,18.10962223,15.40524984,6.657299616,2.311258365,29.46022985,3.411084564,2.721932523,6.900487555,2.004200355,10.36362946,3.608710781,2.371122834,2.597481008,11.03152993,4.588219347,20.24750437,10.87270647,2.909894109,5.133412531,10.40701957,5.929109352,11.54993789,16.43822995,7.458740285,10.3161307,1.540650911,3.242122625,7.930712402,2.673279984,17.8456866,3.110822045,17.16373983,17.57353716,2.251206426,14.61271455,2.341908449,6.331338555,19.45810389,4.879697092,1.586187127,5.61354524,8.465616491,24.58231006,4.960258566,8.698522534,6.398765996,5.347495991,6.429488042,4.121701168,7.297734949,23.07839045,15.84308392,19.91785483,19.73754464,13.81779755,11.52585616,8.686219726,42.9659824,21.07336421,7.485531047,2.801283193,4.352310667,3.022333612,44.1049027,42.62598107,4.338676687,12.38790005,64.10326811,11.28457666,2.145561917,3.773432824,5.593287283,6.731913667,5.58339915,2.64093604,2.475065932,6.647726835,5.310274227,17.76102611,2.129597312,5.322116813,6.861153804,11.30754029,18.66968859,29.74963415,2.316327076,3.211294381,5.332213175,7.718357893,12.00748226,2.399467194,2.314934614,8.505517747,18.75474188,33.31550291,14.4606014,32.17237687,21.71891111,9.522889639,16.69101338,23.34748067,46.34845506,70.37790041,27.24637783,47.69528041,37.5727268,37.50017705,32.18995863,42.88473933,21.35127617,34.32308551,22.27953576,740.5180677,3.32941086,3.083253558,16.73797208,5.185611915,3.215310452,6.961289708,32.05132261,2.649067849,2.464065991,6.326125264,2.04558814,7.588142431,3.563269359,2.725793716,3.939193977,10.7544403,6.018946727,5.806762014,3.216552063,2.601068047,2.61854385,2.411510237,5.331044847,30.42496188,2.215815205,2.005943372,36.23839084,265.9664411,5.597385461,6.476190507,9.11542172,3.263324461,2.08370295,387.7163509,32.14127721,148.9901362,129.6012164,49.8256358,84.53735105,77.1343312,170.1605716,40.21248675,49.66228233,81.63709882,67.41345492,108.4361191,32.1586219,66.32951721,175.5164187,24.91762592,45.97521911,39.45106138,30.22470436,188.4978228,28.47396795,39.34551048,223.0171662,106.1536129,64.59628256,135.0927407,71.57808148,33.9805088,26.95684433,187.2795189,50.59997182,16.51088645,17.39097185,25.70702328,36.62432392,37.29279357,44.88942898,10.99365787
p0509f_35_44,13.60538381,16.43931066,10.81841176,14.73523913,10.52608652,14.57537378,12.44456988,11.82198312,10.30581154,12.82753978,10.4609145,19.18555744,16.85277527,14.22908264,13.35867651,13.11853102,20.64871357,13.22667295,15.8184471,10.07805455,21.58188727,16.34783907,13.08572518,12.20060942,12.30193008,12.21702395,13.26036927,12.62964336,10.99717545,13.52841955,14.25006293,13.97372041,12.85693437,14.22559869,12.50618512,12.10149635,13.3999957,11.70378234,12.67818993,13.33051738,14.12718979,11.21644499,11.77641853,10.87430976,12.43926457,12.87153403,11.91176587,15.82152766,13.64559621,10.98831917,9.044727223,11.23416622,11.03246956,13.63683325,10.02938448,13.00851385,13.03117197,12.01293661,13.33549669,13.16933842,13.18909175,12.95154839,13.94068436,10.63951044,14.49239383,13.07839719,12.6740439,9.093391137,10.67960601,11.74078258,10.70336501,11.3202237,11.0761988,12.87798426,11.77058975,12.61266681,12.72905518,12.41705103,9.208444762,12.98424362,7.321983707,8.116341259,13.60111925,11.35948161,11.30339284,12.48229212,8.99052684,13.70058225,11.72991839,11.48338903,11.16387964,12.06483001,11.96542336,11.91166783,11.55831429,10.70219959,6.581384162,7.735770687,9.043191093,11.96801364,12.96118852,13.77950602,13.0266135,19.24487792,9.408371977,11.4211473,8.121056409,15.39283627,7.480969515,18.75485556,17.56517838,10.00354531,18.48061232,14.67138861,15.68018445,15.75487094,20.43338578,19.39246337,8.384316594,11.12620021,14.24997268,17.90048068,12.07170856,10.95561519,7.917982162,22.0052044,7.064533447,25.49312277,27.86954824,25.83952683,9.576213859,12.22072554,13.41166542,28.90403022,10.92589858,12.0410808,11.96331364,12.26358416,12.88033086,13.42309728,12.22258825,13.27250185,11.12794171,11.75400362,10.28410677,13.33569175,11.15696219,16.32285717,12.03405003,11.65209693,12.45891296,13.20597392,13.018814,11.42214645,9.995722909,7.015868759,7.292309823,13.04765959,7.84609382,9.597250194,7.803085531,13.90038609,9.407779884,16.69075752,9.944261882,6.71786525,11.82906327,17.88652308,6.942830507,15.40232723,11.66507591,14.32759462,15.35712508,12.68518388,8.530478284,16.19747875,12.59351169,7.227952707,7.075955066,11.70633891,29.03285539,5.533177837,11.34256415,13.92276991,12.1339015,14.15077341,12.83840488,10.38045468,12.58721656,11.55026024,7.759290354,10.55277195,14.71722909,11.58643899,12.02849036,11.87658076,10.9516691,11.93232114,11.5499731,11.45593164,11.64642034,13.89358149,12.40290955,10.70066734,12.61496275,11.43665844,10.71451961,13.75933085,12.01690398,9.896340883,11.53961389,12.67022081,11.30551606,11.07454358,13.34604147,12.48923724,14.40647155,12.74881808,11.89119011,11.87330547,11.36121084,14.95759759,13.27032269,11.3229315,10.31791488,15.40127834,18.15764562
mx0509_standart,4.72363816,5.865812995,6.441939923,4.617582244,3.973375852,3.5897696,6.165666779,5.417729794,6.194733341,4.998551774,6.571242824,5.776032365,4.405309468,5.541988529,7.685543857,4.792477742,4.982171452,5.08945228,5.620062414,5.881711311,6.258174307,5.194575923,6.57072988,6.189061717,5.844887823,7.753501967,5.581613048,6.637691423,7.359691624,5.921223903,5.458352162,5.812613721,5.609409636,6.09819493,5.229739092,5.770535283,6.262092285,5.880826986,7.192481594,5.769189154,6.104841652,9.821584364,6.492927944,7.039959772,6.737272562,7.698291985,6.673672046,5.957693276,4.164176973,5.671556393,8.071743148,6.99776112,7.49460909,8.58923467,6.863459092,8.460709484,5.151952449,6.430261299,6.832141956,6.96817869,4.583118718,7.413606375,6.674203312,9.151426105,5.643349852,6.535412065,5.558861499,4.700587984,3.988320308,8.547355344,6.920629394,6.690879383,8.006982576,6.496812794,7.556190289,7.763846846,7.88161554,7.182199515,4.667367571,4.197504134,5.345353272,4.956885855,7.215736129,6.237546817,6.013593413,7.267492241,5.899570574,6.753135937,3.66842439,4.597581268,6.034184492,6.468747986,4.475872821,7.279377634,6.811118724,6.38095956,7.185804593,7.358989409,7.059607404,6.326249921,5.145689133,5.484802294,4.389873709,3.681915585,2.61860084,5.737294689,6.657822578,4.317380284,7.254953437,3.714721669,4.417329501,59.51485048,4.303888823,3.391531778,4.305251011,4.201903753,3.76545274,6.962059296,5.96144713,5.63832668,7.844735263,3.403367026,5.955431058,5.662221831,3.495625203,3.014300127,3.950104326,2.50923472,3.537201423,5.372794926,7.02314756,8.460023607,4.95207415,3.722107921,5.888250083,7.393389719,6.832601197,4.782345846,6.004447714,5.633855707,4.791117928,3.275870487,5.711149383,5.108630423,4.545868522,4.377873887,5.872624496,5.202685388,3.950473613,6.00523664,7.324339703,6.61175295,8.038419151,6.172448283,5.161241231,5.775130945,4.550794412,5.051474944,3.975149236,2.894656622,6.556093231,4.304652472,3.486622063,3.373205698,4.474603135,6.281237612,4.603550879,5.235372733,3.848990887,4.61708472,3.703055948,5.017553547,4.70798725,2.195229065,3.412940327,1.849889609,4.495061799,4.890882846,4.377717891,2.292908536,3.070273285,2.505865058,5.650451742,5.714673742,5.342068954,6.469682712,6.772641319,6.682892204,6.102204954,8.245860457,5.397889392,5.804695597,5.195784424,4.907540053,6.042292947,5.187112137,5.941124343,6.221389821,5.121522842,6.248873388,5.557557098,5.192892617,6.549422829,5.314040265,6.513625083,6.836217838,5.290103883,5.478619381,5.227972087,5.715807633,5.538591739,5.080392692,5.211462033,6.50503447,4.924043291,4.157051029,6.618486497,7.658762772,5.76368892,5.588608619,6.109924095,4.355883169,5.106943474,5.889413609,6.205179245,4.390511012,5.4171744
Rishp_adjM,151.9832152,136.715901,135.947887,167.7089531,162.0114212,136.2387335,142.3631215,138.224667,124.2484162,131.8701582,153.2784167,226.3789588,148.5534202,157.1104779,203.3561475,145.645778,138.6746884,139.4097392,129.1429652,148.9160855,144.9935816,165.2692482,182.76187,146.7015794,171.3312598,174.8830129,165.7619828,196.3101546,218.0794785,150.6595214,200.949589,167.5120327,207.6607153,168.3961171,196.146904,166.6705617,170.9555811,241.940708,202.4664969,170.765114,219.2626581,135.3278298,185.4013008,172.891756,171.5174718,157.699034,208.2034633,205.1334748,205.551876,229.1054059,151.4323377,211.0940226,242.3274554,175.1427976,170.7320717,182.3048275,186.9001911,213.8653265,172.8891519,153.0387802,165.1091568,205.5110266,217.4765006,248.2519721,171.0005784,205.4971559,162.440176,235.1713985,128.8461183,213.0848813,216.4790658,195.3606998,157.5315163,171.5572098,229.1574691,286.6294802,210.6128324,199.6521916,154.6325017,134.5480723,120.9174454,121.8069893,201.2004141,139.8294717,161.458248,156.0391735,138.2428884,188.3342947,225.5866915,149.0608065,169.9449803,187.4628526,120.4516119,190.7408187,178.1002802,166.9517547,215.80817,216.1542862,142.9715894,152.9093304,157.4327833,142.8668868,112.1271024,87.65072482,53.51494606,149.7150216,195.6531752,114.7956663,143.2276508,120.4155084,107.5118488,2886.953128,103.8297025,109.7279391,123.8783052,119.3930463,132.1003345,150.0548913,186.8568319,171.4907602,213.5775376,135.9648227,163.0030519,185.4169223,136.0547035,105.4891682,139.1121288,90.43374894,92.18462353,161.3209041,207.7395659,167.1179294,170.3425815,91.85795795,222.3638228,175.9991529,169.1496121,134.0431934,174.4829489,163.8682144,137.0417359,152.6470153,164.7921634,155.0066336,108.0442539,140.2818418,152.1053128,140.4506533,125.1559331,157.6369687,188.2356777,209.6340164,223.9849341,182.4574331,142.7810999,100.7826119,120.3820048,121.1630392,71.62089958,81.34218368,137.0466439,123.7856542,93.96546075,95.71362745,129.7055316,65.28671991,76.95212756,125.0175518,83.98158308,92.72440617,113.9110678,139.6737385,135.1942921,117.8871631,82.23363091,91.79774291,262.8124942,119.0727056,83.52636681,79.46006107,67.37817443,62.92581106,155.9329243,146.0458155,157.725403,190.7654733,148.5010968,149.9376029,159.7495374,199.7272665,136.4228088,172.1834382,131.6136566,139.2523882,168.0024962,159.66204,186.2478669,162.1947438,155.9616053,174.939219,185.4774797,147.5413434,220.4830422,170.6036135,188.6611629,203.3903734,158.4245142,152.7879894,153.5189073,203.8708348,157.640449,145.3828253,146.1047275,179.8623398,140.4892898,128.6088823,172.7938108,177.6046833,163.5282938,187.2815653,159.1588207,125.0606462,141.6513104,153.4921772,161.2559396,144.8676843,148.7021064
dress_wash_oneself_5s,1.1,0.7,2.8,2,3.4,1.7,2,2.6,2.8,1.4,2.1,0.6,1.8,1.3,0.5,1.7,0.8,1.9,0.8,2.5,0.8,0.3,3.1,0.6,2.9,1.5,2.2,1.7,3.4,0.9,3.2,1.6,1.1,1.6,0.2,1.9,0.7,5.2,1.4,1.2,3.3,0.9,1.3,1.1,1.2,2.2,1.7,1.9,3.1,3.3,0.3,1.1,1.6,4,0.4,0.9,4.3,1.9,1,3.9,2,1.4,1.8,1,0.6,3.2,1.3,0.8,0.4,4.4,0.7,1.2,3.9,2.3,2.3,2.3,0.7,1.5,0.8,1.1,0.8,0,2.6,1.2,3.3,1.1,0.2,0.6,2.7,0.6,1,1.2,1,4.4,4.5,3,4.1,2.4,0.2,3.2,2.1,3.3,0.6,0.3,1.2,2.1,1.1,0.3,1.3,0.4,0.3,3.9,0.2,0.6,0.4,0.1,,0.6,1.9,2.4,1.5,0.8,2.4,1.5,0.8,0.3,0.6,0.3,0.5,0.1,0.7,1.6,0.3,-,2.5,2.7,2.6,0.7,2.8,1.9,2.1,1.5,2.9,1.1,1.4,2.6,3.3,1.8,1.2,1.5,2.8,3.3,1.9,3.4,1.8,1.2,1.4,1.3,0.5,0.3,1.2,1.1,-,0.2,0.8,,0.3,0.5,,0.4,1.3,0.7,1.1,1.8,-,0.3,0.3,,0.1,,-,0.4,2.6,4.8,1.2,1.5,2,*,2.1,2.1,1.7,3.4,2.2,1.7,3.1,2.9,1.7,2.7,1.8,2.2,3.3,2.7,2.1,2.6,1.4,2.8,2.5,1.9,2.1,1.8,3.5,1.8,2.1,2.7,2.5,1.4,1.1,0.9,2.4,2.2,2.3,0.8,1.1,3,3.4,1.4,1.4
Rabort_up,17.06395277,15.06572511,15.55593075,16.07683864,11.81753221,13.30309239,16.36106004,15.29389622,18.01855722,10.88861426,15.26966815,13.33681757,13.18165421,12.37372918,7.918137844,9.824487321,8.744922326,10.41705228,11.61435075,10.92499424,12.0704982,15.09506612,17.14454386,8.998211372,8.30959847,8.231659984,4.65926149,6.679853754,12.91568985,9.040172625,15.59307808,13.41835638,9.357777534,9.730333194,3.785896801,8.399678034,7.414763224,5.952670065,6.034943291,6.301049041,13.57800063,5.893858116,7.241421336,5.508660665,5.980485567,6.613135811,6.171987475,10.19867413,19.63078908,6.686614999,8.452261214,5.126587471,7.181768024,11.9303567,7.746894786,6.182550925,17.16266296,7.197509382,7.545166303,14.09284405,5.685598759,4.95066685,7.369205213,9.32615262,6.281540564,9.035628292,14.29901366,5.287507251,15.30302769,10.30931175,5.462497085,6.674816921,5.644881213,6.056898405,5.582796171,9.378977697,6.588543452,10.57717892,13.76026417,9.261254446,3.804777696,6.134440486,18.48860438,17.99876752,20.6539128,16.64110767,3.402550648,10.25746053,9.444284715,9.674012637,10.29174532,4.559061386,13.33697153,15.18137157,21.68676368,19.38518194,6.512948156,3.961576853,8.674667663,17.66053215,13.37378943,14.67932406,5.501704448,14.48066422,0.901989988,15.04491074,7.611394099,12.97922915,1.657833446,10.39530148,6.617835798,12.82876249,13.75047326,12.97907049,12.94845147,10.84818687,14.84018612,12.01775214,5.886735896,5.516991807,12.14902895,10.00720683,5.2983267,6.260387361,5.418243658,7.957836421,2.793928041,15.20957466,10.10857107,9.154964274,4.455459543,5.915290843,3.121965398,12.8950195,13.55865703,18.11781947,18.98395929,13.14208265,15.84971048,14.75018893,13.25632499,16.65994764,16.7545338,29.69951109,9.329671799,11.61538448,16.59504704,10.83870575,11.92784123,15.50755741,5.493935366,8.339813284,4.190337408,17.81314132,5.546830273,6.115829555,5.463410336,11.53130833,5.565757403,7.08630938,9.832302347,11.6156796,8.801733168,16.16070143,10.49667049,4.091887729,5.107162521,12.14399045,4.417849126,10.99259521,9.507421326,14.38756658,10.84742458,14.22540231,6.188222314,14.72577973,5.060676122,1.58646765,1.779630016,2.24039784,8.991362716,1.494036503,15.068892,6.188645095,13.91419363,9.930135231,8.643650588,13.4701899,15.10258708,4.767400589,3.67581556,19.86701597,10.45729329,12.75703064,14.69538176,15.37190866,15.06141919,16.15409495,11.35501319,17.64865763,18.02624872,14.28058607,9.883183871,11.61086748,7.299092966,19.38105143,17.66764133,12.90989452,12.49786487,10.48930193,15.21165931,14.67402488,14.23203799,18.34912915,11.76465437,8.67428929,9.051655468,6.946013874,17.37186103,14.52093619,16.66469789,9.965922808,10.63134988,16.13719443,20.90880291,11.75215333,13.19639134
