City,p0509_0_4,Rwht_2500s,per04,p0509f_55_64,Ptot0509,p0509f_35_44,mx0509_standart,Rishp_adjM,dress_wash_oneself_5s,Rabort_up,RliveBirth0509,Ravtaha09,MaazanHagiraPnimit10,p0509m_15_24,mx0509m_sdirect_dn,p0509f_15_24,tluim09,Sahar09_halfave,Rnayadut09,AhuzGidulShnati10,Leumit09,madad08,p0509f_0_4,p0509f_5_14,p0509m_75p,Rishp_dn,Arabs10,p0509_5_14,p0509m_25_34,mx0509f_sdirect_up,p0509f_75p,p0509m_45_54,RPiryon0509_tot,hear_5s,see_5s,Rwht_2500_dn,eshkol08,p0509m_55_64,Klalit09,Jews10,Jewso10,Rabort_dn,Seud09,Ptot0509f,Rptirot0509s,Rishp_adjF,Sahar09_Min,Ptot0509m,Rgsa_37pws,Rgsa_32ws,Ravtala09,mx0509m_sdirect_up,Rseud09,p0509f_65_74,mx0509f_sdirect_dn,Olim10,mx0509f_standart,Sahar09m_ave,Rgsa_3336ws,Rwht_2500_up,Rishp_upM,Rishp_upF,p0509m_35_44,Rwht_1500s,Rnehut09,Rishp_dnM,Rishp_dnF,mx0509m_standart,Rishp_adj,p0509m_0_4,p0509_65_74,walk_5s,Madadgini,p0509m_5_14,p0509_35_44,p0509_25_34,Nayadut09,remember_5s,Rfdegree09,Sahar09f_ave,Rhinmey09s,mx0509_sdirect_dn,p0509f_45_54,nehut09,Ledot0509_AVE,mx0509_sdirect_up,uc2010,p0509_75p,ptirot0509_ave,Meuhedet09,Rtluim09,Rabort0509_15_49,p0509m_65_74,L0509_memuza,ribuitivishnati10,Rishp_up,p0509_15_24,Rptirt0509,p0509_45_54,Rnoshrim0709,PtirTinok0509_ave,p0509f_25_34,p0509_55_64,Maccabi09,shem_mahoz_?????????????????,shem_mahoz_????,shem_mahoz_????,shem_mahoz_???????,shem_mahoz_????,shem_mahoz_????,shem_mahoz_??-????,shem_nafa_?????????????????,shem_nafa_??????,shem_nafa_??????,shem_nafa_????,shem_nafa_?????,shem_nafa_????,shem_nafa_????,shem_nafa_??????,shem_nafa_???????,shem_nafa_????,shem_nafa_???,shem_nafa_????????,shem_nafa_???,shem_nafa_??????,shem_nafa_????,shem_nafa_??????
Rosh_Pina,7.863291036,9.5,1,12.1391296,2.492928224,13.60538381,4.72363816,151.9832152,1.1,17.06395277,15.96516082,1.629311234,-32,18.18807393,3.415218625,15.66882826,13,62.2,0.52437785,-0.2,2.8,0.785135509,7.459507456,16.37869909,2.127993194,138.5937619,0.8,16.53148912,14.78931436,5.805140134,3.337364263,10.94914113,2.456883119,2.1,0.7,5.464643457,7,13.21706908,70.3,97.7,99.2,9.105921127,23,1.282297202,3.8,141.6345618,43.6,1.210631021,91.1,0,1.460803178,7.819053168,10.70736443,4.203947531,2.383376722,3.4,4.094258428,10002,7.2,13.63083393,163.1797377,151.2324152,11.37034843,0,4.275518611,140.7866927,132.0367084,5.617135897,145.8034753,8.290977544,4.286412134,4.8,0.4734,16.69332392,12.51999228,14.21179953,14,0.9,33.7,5453,10.9,3.373171817,13.54057862,72,39.8,6.074104502,2.7,2.750062102,9.4,3.4,0.771968638,13.1,4.373758426,39.8,18,153.0131886,16.89223972,0,12.28210892,2.4,0.4,13.66656136,12.66260515,23.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MazkeretBatia,8.632950041,9.1,4,8.066605171,8.847215501,16.43931066,5.865812995,136.715901,0.7,15.06572511,14.62607077,0.544366463,224,18.07861246,4.618868479,15.94337188,47,37.3,0.322357839,3.8,1.9,1.293539227,8.405624944,20.38400236,1.397394577,128.9277416,0.2,20.20617793,11.71428432,6.959581071,2.427226818,13.95250322,2.509159223,2.1,0.3,6.900741262,8,8.610843919,49.3,98.7,99.8,10.90828787,89,4.431810151,3.1,129.9526156,32.4,4.41540535,94.1,0,1.800956976,7.61654471,18.20642335,2.942355798,4.362327827,7.1,5.660954449,13036,5.4,11.33728038,142.8976794,135.3411316,14.52408287,0.8,2.785237903,130.5341227,124.5640997,6.117706595,132.9465035,8.861119732,2.8880119,1.6,0.4483,20.02769281,15.4834724,11.73445048,30,1.1,33.3,7253,6.8,4.883558554,13.63696036,154,129.4,6.848067436,9.5,1.913265472,27.4,25.8,0.850040139,13,2.833466095,129.4,131,136.9652653,17.00901255,0,13.79443925,2.3,0.2,11.75454201,8.338219972,23.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Elyachin,10.32836669,8,2,7.3715144,24.34669698,10.81841176,6.441939923,135.947887,2.8,15.55593075,23.75263635,4.316308997,-197,17.39330956,6.723132688,18.82800648,119,51.4,0.366701279,0.8,8.7,-0.761509453,9.747475944,19.21486869,3.370497883,126.5733887,0.7,19.65449765,14.0437124,6.130445714,4.758844167,11.39187589,3.270655962,2.5,0.4,6.924986531,3,6.492584635,58.4,92.6,99.3,12.86078945,757,12.43353638,2.653703704,123.9855987,49.7,11.9131606,92.4,1.6,2.855483586,8.241853622,34.10112013,6.200576495,4.975172668,24.9,5.552809191,5894,6.1,8.978989463,139.1013262,126.795719,11.47361825,1.1,6.621398616,132.7944479,121.1754785,7.482493155,128.6490848,10.93463118,5.508620951,5.7,0.3651,20.11332993,11.13901295,13.16789042,88,2.3,13.3,3815,7.65,5.973981733,10.73157821,897,107.6962963,6.909898112,24.1,4.079507981,12.94259259,7,0.87842412,14.2,4.786440271,533.2,447,130.724781,18.12599031,1.528703704,11.05467059,3.3,0.531481481,12.32872386,6.94144245,26,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yavniel,10.79291329,12.3,3,6.224976745,2.757400375,14.73523913,4.617582244,167.7089531,2,16.07683864,19.43859894,0.628530529,27,14.35916125,5.471789502,13.36232604,25,37.4,0.335503757,2.8,7.3,0.322424407,10.66982095,19.32788998,3.406997421,146.1452373,0,19.52547014,12.68679832,3.928005554,6.768260931,13.91201534,2.979927396,3.5,0.9,8.379338394,5,6.130540853,71.4,99,100,8.505619196,105,1.395058388,4.9,146.2890471,39.3,1.362341986,89.4,0,2.091821419,10.29934185,38.06125189,5.547318365,1.746713699,2.3,2.837359627,8114,9.1,16.24752728,178.3029216,155.1717106,14.9501129,0,3.668031349,157.1149846,137.4063836,7.885565676,152.7690639,10.91896166,4.737195212,3.9,0.3946,19.72779516,14.84140128,12.77509353,10,2.9,12.5,5658,5.7,3.511892428,10.50284979,63,53.6,5.72327206,3,5.107569778,13.4,9.9,1.455567995,12.3,3.907617094,53.6,49,159.3928905,13.85482995,0,12.18720778,1.2,0.2,12.86131807,6.178319037,11.4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kfar_Tavor,14.60678352,9.2,2,6.135186891,2.975278954,10.52608652,3.973375852,162.0114212,3.4,11.81753221,27.89654391,2.306878557,55,16.42991168,3.71078204,16.74812091,13,48,0.477577164,3,2.6,-0.45580054,14.91871833,21.37497421,3.991908913,141.186623,0,21.01413755,14.6035718,3.756318171,4.399329902,10.49704892,4.428717009,4.1,0.4,6.381732494,4,5.927588816,89.1,99.1,100,5.530820712,64,1.494248617,3.6,135.6098657,54.8,1.481030337,93.2,0,1.915284782,7.387721432,17.81790658,4.892469541,1.382366821,3.6,2.569342496,6337,6.1,11.93152052,171.6950498,144.3050125,9.601334132,0,6.626570385,152.3277925,126.9147188,5.549251736,147.6287651,14.29206468,4.451448168,7.8,0.4675,20.6500804,10.06576453,13.53673561,16,4.5,10.8,4146,10.7,2.903636963,8.525776942,111,83,5.043114742,3.4,4.196524432,10.6,2.2,0.77608482,8.7,4.006490654,83,76,154.0709072,16.58972315,0,9.507034045,7,0.4,12.47933676,6.031849002,6.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Atlit,6.804078035,10.5,2,9.693141658,2.562052629,14.57537378,3.5897696,136.2387335,1.7,13.30309239,13.34867193,2.210879744,102,18.07719343,1.810347954,19.11966379,16,41.5,0.534596559,4.7,1.9,1.35656337,5.966811141,19.61795959,2.341327571,114.7108515,0.2,18.93848601,10.15105052,5.36211972,1.918740151,15.90926858,2.351157305,3.2,0.7,5.926463628,8,12.78770863,72.6,98.4,99.8,6.634735084,24,1.307243508,2.3,105.8473864,33.5,1.254809121,92,-,1.704141512,5.520032095,17.63220462,2.437135066,1.758559062,3.3,3.560339391,12427,8,15.12616795,146.8823681,115.3848762,12.21635503,0,3.235372645,125.5950989,96.30989646,3.665190025,121.8979882,7.676331585,2.521869744,3.4,0.4325,18.23061945,13.42000397,10.8006616,14,2,53,7208,5.6,2.305187046,15.24695847,53,34.2,4.874352154,2.7,2.125709572,6,11.9,0.97671627,10,2.61014521,34.2,25,129.0851249,18.60909609,0,15.57133618,0.6,0,11.42421635,11.20875879,13.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mitzpe_ramon,6.69569182,8.7,3,11.83494661,4.785428074,12.44456988,6.165666779,142.3631215,2,16.36106004,12.03654075,1.338392984,251,17.85564755,5.736885091,16.84161405,36,43.1,0.404017272,6.8,7.1,-0.117954114,6.657806162,13.86067902,3.453501365,134.6093871,1.1,13.88685285,14.6052962,6.313883051,3.911025666,14.06402381,1.913776834,2.3,0.1,5.428820011,4.534391534,11.86982863,71.4,96.8,98.9,10.57109147,110,2.428019887,5.6,137.1707697,38.8,2.357408186,92.5,0,1.737346044,8.956775418,21.15514708,6.131398956,3.654968792,6.6,4.984425922,10515,6.4,11.9322911,149.4905253,143.8983704,11.22379382,0,4.415358153,135.2357177,130.4431689,7.346830254,139.4946921,6.734712271,6.204300496,3.3,0.4738,13.91381068,11.84318847,14.33667444,149.1640212,1.8,21.3,6061,8.2,5.121707107,14.24209492,147,57.6,7.20962645,5.5,3.685639031,26.8,3.4,1.081312201,13.5,6.279385663,57.6,65,144.3799971,17.34114948,0,14.15437314,2.8,0.4,14.07586473,11.85213027,18.2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ramat_Ishay,9.758783219,7.7,4,9.221910941,204.0545596,11.82198312,5.417729794,138.224667,2.6,15.29389622,23.75263635,2.237997413,-425,15.19889033,5.943785078,14.30120087,1277,49.7,0.326551037,2,16.9,-0.103801127,9.218265529,17.11991437,4.104713663,132.801437,0.1,17.93101228,14.14998538,4.968258863,5.83517652,10.82002371,2.820037132,2.7,0.3,7.311380315,5,8.422774057,33.6,91.1,99.9,14.32462281,5929,103.9059219,2.653703704,130.6867225,42.4,100.1486377,92.3,1.2,2.279637562,6.386959716,24.20405626,7.203055022,4.628504065,31.9,4.798381464,7999,6.5,8.053045285,139.2604758,131.6446132,12.11738569,0.9,4.15943806,137.1888583,129.7288318,6.165372397,133.498863,10.31957955,6.658790804,6,0.4164,18.77254022,11.96696476,14.08289784,674,2.4,17,4721,7.65,5.28108569,11.26025742,4831,107.6962963,5.554373898,208.5,4.985876715,12.94259259,22.3,1.099483006,14.8,6.094107384,3962.4,2997,134.196289,14.74178096,1.528703704,11.04419361,3.5,0.531481481,14.01823621,8.829699807,27.3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Givat_Ada,13.1999919,10.5,1,7.740723879,4.52317108,10.30581154,6.194733341,124.2484162,2.8,18.01855722,28.96198213,3.451857904,-77,16.92474785,5.407470613,12.5352076,22,54.6,0.464055807,1,0.8,-0.350037012,13.17422945,18.03869909,3.282543446,112.6420331,4.1,18.68269293,16.71738547,6.714280766,4.455768478,8.673725272,3.735960891,1.7,0.3,8.183270779,4,6.603111229,64.8,88.8,95.9,11.37154297,62,2.220068836,5.3,112.3485919,50.6,2.303102244,90.4,0.8,2.024781094,8.991720965,18.37672155,5.764938616,3.965679654,19.5,5.33998021,6656,8.8,12.88543151,131.185326,118.646392,11.63009126,0.8,5.412431309,117.3115064,106.0507917,7.199595789,117.250235,13.22482553,4.683016624,5.3,0.4164,19.30346895,10.98010653,17.40075132,22,1.3,17.5,4090,9.3,5.086354912,9.874945404,146,131,7.303111769,4.8,3.858387314,24,1.6,0.815571841,14.7,3.640101007,131,111,121.8584369,14.77026788,0,9.263309732,1.4,0.4,18.10967593,7.16147578,32.7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pardesiya,7.434287718,13.1,3,10.45269073,5.829010773,12.82753978,4.998551774,131.8701582,1.4,10.88861426,13.89601137,0.288733247,146,20.24090906,3.897025321,18.57289376,43,39.5,0.290266318,4.2,2.5,1.25058596,7.617417026,15.35580863,0.96090524,127.5812156,0,16.01226322,13.91417519,6.085952593,2.29928316,15.51957572,2.267687657,1.3,0.4,9.801817374,8,11.72797358,63.2,99.1,100,6.696398347,52,2.888374548,2.5,135.0600484,33.2,2.940636226,88.9,2.6,1.949820075,8.240317764,16.68886282,2.546757816,3.309711319,2.7,4.697831956,12644,8.5,16.37102213,140.0204135,141.8176222,10.80709382,2,2.984214158,123.719903,128.3024746,6.068671543,132.6059647,7.254413027,2.733994323,2.2,0.4415,16.65705114,11.80825936,13.46321338,19,1,30,6886,9.8,3.859654886,17.32351713,127,81,6.137448662,6.7,1.624094393,14.8,1,1.010403219,8.8,2.91790322,81,64,137.6307139,19.41437895,0,16.41345955,1.1,0.4,13.00409196,11.09604911,33.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tsur_Moshe,7.411852431,9.2,2.991111111,14.57407941,1.344178841,10.4609145,6.571242824,153.2784167,2.1,15.26966815,14.58139305,2.210879744,328,14.31773841,4.19859045,14.02052492,177.7323232,35.2,0.404017272,22.4,9.942081448,-0.117954114,6.939348644,11.06656802,6.533137399,137.30098,0,10.57160099,16.87224199,8.75093944,9.697670242,9.299610765,2.544380381,1.5,0.5,3.465817442,4.534391534,13.038066,58.8573991,98.5,100,5.042583352,623.9951923,0.668197282,11,139.8785244,25.1,0.675981558,96.7,0,1.394627825,8.877981695,18.92121959,8.020529578,4.759005739,4.2,6.75497259,12060,0,14.9015295,165.931447,151.4538825,11.5867787,0,4.473646077,140.6253864,128.3031663,6.538286072,145.7614473,7.878915094,9.212718061,3,0.4153,10.08233376,11.0271066,15.81505705,149.1640212,4.1,19.4,7845,9.5,5.074015559,10.47480843,875.3105023,19.6,8.068470089,2.2,8.106240755,14.8,11.47207207,0.885083188,10.2,10.39117788,19.6,38,154.2219146,14.16999226,0,9.883806755,2.2,0,14.74555625,13.8016251,19.8735426,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BeitDagan,10.73790889,7.1,4,5.801277345,9.531814865,19.18555744,5.776032365,226.3789588,0.6,13.33681757,23.75263635,0.441899071,137,13.78163424,6.105677928,13.48379193,56,36.5,0.381987607,3.3,1.9,1.841683983,10.03941956,21.38422645,1.123366204,188.7307413,0,22.19891404,10.04173969,5.635166112,2.495909414,13.0602939,2.492606721,0.7,,5.33420188,9,7.241984247,46.7,99,100,9.564922043,137,4.720999267,2.653703704,173.5513952,30.7,4.810815598,93,1.3,2.196426063,9.740891152,28.59966781,2.92230395,3.431086781,5.5,4.533126447,15800,5.6,8.814479175,235.7823088,179.8668169,17.72258585,0.7,3.763909617,216.9756087,167.2359735,7.92328454,193.8768054,11.42335766,2.762988047,0.8,0.4866,22.99839168,18.44717901,11.27599645,39,0.6,26.4,8259,7.65,4.812322852,12.15377914,216,107.6962963,6.739741879,10.4,1.803171213,12.94259259,5,0.975828419,11.5,2.606646518,166.8,156,199.0228694,13.63411634,1.528703704,12.61130747,1.4,0.531481481,12.53373477,6.528418538,46.4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AbuGosh,10.20896017,9,3,6.147447709,16.26486113,16.85277527,4.405309468,148.5534202,1.8,13.18165421,23.75263635,0.552741028,732,16.94798219,3.818576098,15.02843637,98,37.5,0.293500352,5.7,4.7,0.525674868,10.21455286,21.97737766,1.262880756,139.6351357,0.3,22.34633843,11.80849618,4.882083567,1.921936366,12.17001189,2.61087491,3.1,0.1,7.504324755,6,6.615750596,41.6,97.2,99.7,10.25784191,175,7.975347729,2.653703704,138.9923208,31.6,8.289513405,92.1,0.7,2.136887403,5.740909941,20.59526935,2.850649653,3.127012918,8.8,4.004548242,11379,7.2,10.46224906,153.6418267,143.287342,15.39553882,1,2.722345019,143.4650138,134.6972995,4.779743019,142.8813051,10.20357943,2.872969906,4.2,0.4029,22.7013159,16.11008334,12.79132296,54,3,20.1,6294,7.65,3.752609683,11.19395877,285,107.6962963,5.058009253,18.9,1.586043531,12.94259259,21.9,0.936104603,11.7,2.89444424,287.2,295,146.1274745,16.00674788,1.528703704,11.69141186,1.9,0.531481481,13.81286534,6.38612193,31.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Boeniyaa,11.11940689,6,4,7.696168196,14.75060253,14.22908264,5.541988529,157.1104779,1.3,12.37372918,23.75263635,0.578546853,835,15.38639485,4.356106428,15.97171912,83,43.3,0.363594145,6.9,10.4,0.881229506,10.81223275,17.59913701,1.499098924,154.823288,0,18.21473651,15.7046241,6.533641571,2.173798257,11.49494842,2.736516998,1.7,0.3,4.822935391,7,8.567813538,49.4,98,100,9.469865259,157,7.375782538,2.653703704,157.2358398,34.5,7.374819994,93,1,2.107495558,6.454015002,18.78216576,2.617152979,4.476146961,8.5,5.504894266,10557,6,7.222067918,162.1351003,161.9308232,14.15418763,0.8,3.227194011,152.0858555,152.5408564,5.405060715,158.264561,11.42662112,2.77651362,2.8,0.4201,18.83041635,14.19163758,16.21029273,64,1.8,18.2,6140,7.65,4.795962873,12.18481368,343,107.6962963,6.288014186,18.2,1.836470604,12.94259259,11,0.780924498,10.9,2.935895061,302.2,309,161.7058339,15.67907608,1.528703704,11.83990356,2.1,0.531481481,16.71589538,8.131962428,29.2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gulis,5.657585648,7.5,4,7.899733979,6.052393811,13.35867651,7.685543857,203.3561475,0.5,7.918137844,10.64041799,0.227577415,-59,21.28151815,5.51053231,22.65117036,29,38.9,0.419643432,0.2,15.9,0.637158572,5.257199456,17.21086523,0.597195705,170.9989413,0,18.25379655,12.67929747,9.419100109,1.471896482,17.60967379,1.937873082,1.2,-,4.584710315,6,10.54019509,49.9,99.2,100,4.59188796,27,2.966091018,2.4,159.233042,36,3.086302793,91.1,1.6,2.122712272,11.81717385,12.98622636,1.501794924,5.084126358,3.1,7.251613233,12582,7.3,10.32212198,217.5935735,168.6401591,9.841778829,0,2.253091216,189.1187215,149.825925,8.66385308,178.69658,6.042376762,1.833282507,1.6,0.4852,19.25610559,11.56530161,12.4423822,23,1.6,32.2,6809,5.7,5.910273799,18.45279797,83,64.4,9.460813915,5.5,1.025859503,14.4,6.4,0.787224642,6.3,2.151858618,64.4,65,186.3942187,21.95274234,0,18.02286288,0.5,0,12.19586508,9.246186762,27.8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
