,semel,shem_eretz,uc2010,Jewso10,Arabs10,Olim10,AhuzGidulShnati10,ribuitivishnati10,p0509_0_4,p0509_5_14,p0509_15_24,p0509_25_34,p0509_35_44,p0509_45_54,p0509_55_64,p0509_65_74,p0509_75p,RPiryon0509_tot,Rabort0509_15_49,Rabort_up,Rabort_dn
0,,,2.7,99.2,0.8,3.4,-0.2,18,7.863291036,16.53148912,16.89223972,14.21179953,12.51999228,12.28210892,12.66260515,4.286412134,2.750062102,2.456883119,13.1,17.06395277,9.105921127
1,,,9.5,99.8,0.2,7.1,3.8,131,8.632950041,20.20617793,17.00901255,11.73445048,15.4834724,13.79443925,8.338219972,2.8880119,1.913265472,2.509159223,13,15.06572511,10.90828787
2,,,3,100,0,2.3,2.8,49,10.79291329,19.52547014,13.85482995,12.77509353,14.84140128,12.18720778,6.178319037,4.737195212,5.107569778,2.979927396,12.3,16.07683864,8.505619196
3,,,3.4,100,0,3.6,3,76,14.60678352,21.01413755,16.58972315,13.53673561,10.06576453,9.507034045,6.031849002,4.451448168,4.196524432,4.428717009,8.7,11.81753221,5.530820712
4,,,2.7,99.8,0.2,3.3,4.7,25,6.804078035,18.93848601,18.60909609,10.8006616,13.42000397,15.57133618,11.20875879,2.521869744,2.125709572,2.351157305,10,13.30309239,6.634735084
5,,,5.5,98.9,1.1,6.6,6.8,65,6.69569182,13.88685285,17.34114948,14.33667444,11.84318847,14.15437314,11.85213027,6.204300496,3.685639031,1.913776834,13.5,16.36106004,10.57109147
6,,,4.8,95.9,4.1,19.5,1,111,13.1999919,18.68269293,14.77026788,17.40075132,10.98010653,9.263309732,7.16147578,4.683016624,3.858387314,3.735960891,14.7,18.01855722,11.37154297
7,,,6.7,100,0,2.7,4.2,64,7.434287718,16.01226322,19.41437895,13.46321338,11.80825936,16.41345955,11.09604911,2.733994323,1.624094393,2.267687657,8.8,10.88861426,6.696398347
8,,,2.2,100,0,4.2,22.4,38,7.411852431,10.57160099,14.16999226,15.81505705,11.0271066,9.883806755,13.8016251,9.212718061,8.106240755,2.544380381,10.2,15.26966815,5.042583352
9,,,5.5,100,0,3.1,0.2,65,5.657585648,18.25379655,21.95274234,12.4423822,11.56530161,18.02286288,9.246186762,1.833282507,1.025859503,1.937873082,6.3,7.918137844,4.59188796
10,,,3,100,0,3.1,2,61,16.84021401,19.41700621,7.065877503,18.19776616,21.77660725,6.687114026,6.006482133,2.750244383,1.258688323,2.846862354,8.8,12.0704982,5.479652478
11,,,6.8,99.9,0.1,3.3,1.4,95,9.231266439,19.42563512,14.31630184,13.04809527,15.71902541,12.90705482,8.103388162,4.472941119,2.776291823,2.369488997,12.6,15.09506612,10.04485802
12,,,6,0.8,99.2,0.2,2.4,117,12.44585798,23.58328911,17.37588247,14.38309925,12.88569661,9.974695336,5.224130826,2.680960562,1.446387849,3.459745774,7.1,8.998211372,5.133437763
13,,,8.1,2.6,97.4,0,2,179,13.30151231,26.44597695,20.45461646,16.73125299,11.25316797,6.19351231,3.394938056,1.49604369,0.72897927,3.166152612,10.9,12.91568985,8.83571932
14,,,5.7,0,100,0,1.9,93,9.868447912,21.98146257,19.31081465,16.17432109,13.82146235,9.078159937,4.576656905,3.235112233,1.953562344,2.319822181,7.1,9.040172625,5.186969828
15,,,2.9,0.4,99.6,0.1,1.9,49,9.925752252,19.75906845,14.31922276,16.24252271,14.41188656,9.118389768,6.296000934,6.407298953,3.519857611,2.565986523,11.9,15.59307808,8.248628142
16,,,9.1,0.2,99.8,0.1,1.5,152,12.77401893,24.47586405,16.69074306,14.1864458,14.1189897,8.31325387,4.798773034,3.001650957,1.640260604,3.239870414,11.4,13.41835638,9.350723335
17,,,9,2,98,0.1,1.7,162,12.02094652,24.00424411,18.68649833,15.4907662,13.10578609,8.40497265,4.429754289,2.60187323,1.255158574,2.989075231,7.7,9.357777534,6.118327523
18,,,5.5,0.1,99.9,0,1.6,94,11.13038392,23.2138957,19.15601521,17.25792227,12.54928067,7.917883426,4.398062301,2.680479045,1.696077453,2.596680954,2.6,3.785896801,1.395374224
19,,,2.8,0.4,99.6,0,2.9,60,12.64227386,22.09464954,17.61366415,16.9233796,13.34582488,7.68830035,4.899951732,3.403632597,1.388323301,3.030332192,4.2,6.301049041,2.072386163
20,,,8.8,0.8,99.2,0,0.9,93,9.53911582,21.39954219,17.4308398,15.02665858,13.69969014,11.19199891,6.296259092,3.464221688,1.951673796,2.357836363,11.6,13.57800063,9.601242984
21,,,2.9,0.4,99.6,0,0.9,36,8.114386066,19.4639163,17.22473336,15.23500148,11.90374874,12.47025531,8.429204636,4.800279176,2.358474926,1.905801126,3.9,5.893858116,1.846870805
22,,,7,0.1,99.9,0,2.2,175,13.64184717,26.42807312,19.63597473,16.2492041,12.01610929,6.046753625,3.328310887,1.955188571,0.698538517,3.28860219,4.6,5.980485567,3.128223759
23,,,2.4,0,100,0,2.7,65,13.84653696,26.8991814,18.49857997,14.88674164,12.47164727,7.630307847,3.3784372,1.601286495,0.787281222,3.289643279,4.2,6.613135811,1.840282794
24,,,3.4,0.4,99.6,0.1,0.4,33,8.720110068,21.77714772,22.27333078,12.08221424,13.45376751,12.12665371,4.446207644,3.784679947,1.335888375,2.3624652,7.7,10.19867413,5.137357214
25,,,2.9,1.1,98.9,0.1,1.6,33,9.064885812,18.12929561,13.94119888,15.90864218,13.93786299,9.763568963,7.809642047,7.149689423,4.29521409,2.174276432,15.5,19.63078908,11.3537841
26,,,7.1,0.1,99.9,0.1,2,183,12.99480886,26.6202759,20.97465482,14.33950249,10.67949958,7.414483784,3.93963929,1.95657527,1.080560007,3.707628544,5.2,6.686614999,3.615332498
27,,,2.3,0,100,0,6.7,68,16.76846502,28.98821638,18.57274436,13.76458345,10.11657284,6.729950128,2.766752097,1.083261333,1.209454382,4.25477105,5.4,8.452261214,2.354373498
28,,,3.7,0,100,0,1.3,74,11.06327886,24.22631158,21.14603003,18.59800699,11.36177116,6.834066909,3.529742186,1.928524479,1.312267796,2.195358197,5.2,7.181768024,3.201096492
29,,,2.2,0.2,99.8,0,2.3,50,11.99316274,23.18503209,20.34040295,16.25528724,12.06799108,8.203028569,4.884547207,2.220203331,0.850344793,2.969970414,8.7,11.9303567,5.415788682
30,,,2.7,0.4,99.6,0,2.9,83,14.92447263,30.38970779,18.5174816,15.09929534,10.27433818,5.3925039,3.147347527,1.493681856,0.761171174,3.856195449,5.1,7.746894786,2.549586627
31,,,4.9,0.9,99.1,0.1,1.7,67,9.644422176,20.70003625,17.95957616,16.20198527,12.83018282,10.77505398,6.316548584,3.560723676,2.011471082,2.475003097,14.1,17.16266296,11.09069151
32,,,2.9,0.5,99.5,0,1.1,31,8.059788097,18.63984742,16.94244624,16.33827145,12.97188666,11.0636586,7.444430465,4.941010739,3.598660324,2.240161796,10.8,14.09284405,7.45206722
33,,,5.4,1.3,98.7,0.5,0.8,82,9.782933509,20.52567986,17.72891712,16.62514854,13.2534668,10.01765437,5.657845597,3.468495185,2.939859026,2.153799197,4.2,5.685598759,2.616753868
34,,,6,0.3,99.7,0,1.9,111,11.96714173,25.13254144,19.60338768,15.58942983,13.9550642,6.685527622,3.825734973,2.144363666,1.096808859,2.672790731,5.7,7.369205213,4.044022156
35,,,7.3,0.8,99.2,0,0.5,96,8.990526374,20.97280536,17.88571647,14.80989821,12.89310991,9.628419878,7.175872454,4.828448882,2.815202467,2.28187807,7.3,9.035628292,5.6158888
36,,,3,100,0,11.9,10.5,503.6444444,20.01261908,26.85917952,22.82171714,13.43591231,8.088962656,4.461657359,3.701994156,0.393513383,0.224444399,6.793385162,0,5.287507251,0.056945861
37,,,3,100,0,5.6,0.9,20,6.497069175,14.05838841,14.66328134,9.807481723,9.656659567,13.73331043,13.79493436,10.3163012,7.472573799,2.348162214,11.7,15.30302769,8.024483343
38,,,8.6,0.5,99.5,0,1.6,169,14.92709405,27.95516788,17.49709968,14.04349634,11.81501239,7.147508745,3.854488671,2.141663498,0.618468742,3.944044258,8.5,10.30931175,6.596974912
39,,,2.9,0.1,99.9,0,2.6,71,15.6020956,31.45358042,16.58791837,13.65249374,11.78245143,5.383683084,3.045154258,1.728667189,0.763955919,4.199936227,3.4,5.462497085,1.286493326
40,,,3.1,0.1,99.9,0,1.9,79,15.01078911,28.06558811,17.60964239,16.2821724,11.55294396,6.159568962,3.126206001,1.569590415,0.623498655,3.576394051,3.7,5.644881213,1.768643607
41,,,2.5,0.6,99.4,0,1.6,54,14.22249297,26.45615578,18.97986928,13.4641328,12.1348102,8.127476575,3.747448105,2.154168136,0.713446146,3.691036612,6.4,9.378977698,3.46462044
42,,,2.5,0.2,99.8,0,3.1,51,11.25768746,27.16616834,18.43660559,15.2240646,12.53341774,8.16645964,3.960359871,2.667689825,0.587546931,2.552526524,7.5,10.57717892,4.359068178
43,,,6.5,99.1,0.9,3.7,1.5,54,6.978148946,13.78138793,15.06836587,11.22601085,8.42239195,12.02919473,17.30243079,8.969640952,6.222427977,2.992602189,11.2,13.76026417,8.560544793
44,,,5,100,0,4.8,4.9,200,15.93739342,28.3936215,23.84788615,12.34084475,6.50100198,5.705285429,3.768538401,2.140250877,1.365177492,5.763317225,2.4,3.804777696,1.057200392
45,,,2.5,99.9,0.1,2.4,-1.5,53,20.70633758,32.78387173,19.86342893,8.582354801,7.27041899,5.785456656,2.889304456,0.940116891,1.17870996,10.88509205,0,6.134440486,0.066725994
46,,,6,98.7,1.3,17.1,1.5,88,10.7801977,17.10646624,14.11584301,17.43359454,13.22772133,12.86211897,7.012062933,4.813988528,2.648006743,2.433304903,15.6,18.48860438,12.79155966
